method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images,epochs,repeat
diffusion_dp,1.0,80,resnet20,0.5350829999988491,8.141718500000934,6.608585900001344,0.6628084999993007,0.1958,0.26125,800,5,1
dp,0.1,160,resnet20,0.0743583999992552,19.729178399999,6.261602099999436,1.04204000000027,0.1146,0.576875,1600,5,1
dp,0.5,160,resnet20,0.0686016999989078,21.0539217000005,6.688756100000319,1.0237616999984311,0.2563,0.506875,1600,5,1
dp,1.0,160,resnet20,0.0798701000003347,22.60528129999875,7.1441780000004655,1.040898200000811,0.2829,0.41125,1600,5,1
diffusion_dp,0.1,160,resnet20,1.1266360999998142,21.60093179999967,6.0541075000001,0.956278999999995,0.3638,0.5275,1600,5,1
diffusion_dp,0.5,160,resnet20,1.170925599999464,21.22428890000083,6.788682700000209,1.029103299999406,0.2888,0.38,1600,5,1
diffusion_dp,1.0,160,resnet20,1.1128792999988946,20.00019819999943,6.164828599999964,0.903701799999908,0.2693,0.39125,1600,5,1
dp,0.1,40,resnet20,0.0125019999995856,5.309218700000201,7.167040399999678,0.2922268000002077,0.0967,0.1,400,5,2
dp,0.5,40,resnet20,0.0198888000013539,5.339748899999904,7.305802400000175,0.3041011000004801,0.0979,0.1025,400,5,2
dp,1.0,40,resnet20,0.0250319000006129,5.629236700000547,6.387846600000557,0.2785982000004878,0.1361,0.14,400,5,2
diffusion_dp,0.1,40,resnet20,0.3718984999995882,5.248334600000817,6.441730799999277,0.2566208000007464,0.1034,0.1,400,5,2
diffusion_dp,0.5,40,resnet20,0.3012737000008201,5.523020599999654,6.072065700000167,0.2347074999997858,0.1783,0.2025,400,5,2
diffusion_dp,1.0,40,resnet20,0.308183299999655,4.73683820000042,6.617774999998801,0.2456900000015593,0.1104,0.12,400,5,2
dp,0.1,80,resnet20,0.0499180999995587,9.447187499999927,6.012358399999357,0.4467265000002953,0.0997,0.235,800,5,2
dp,0.5,80,resnet20,0.0359673000002658,10.306379100000411,5.852246800001012,0.453036199998678,0.1989,0.38,800,5,2
dp,1.0,80,resnet20,0.0365922000000864,10.101670000000013,5.845928400000048,0.4647813000010501,0.1636,0.21375,800,5,2
