method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,generalization_gap,synthetic_images
dp,1.0,160,resnet20,0.0746352999994997,7.383951399999205,5.670954900000652,0.8930747999984305,0.2463,0.250625,0.0043249999999999955,1600
gan_dp,0.1,160,cnn,8.103506200000993,1.3369874000054551,1.9818813000019873,0.3355148000046029,0.1033,0.1,-0.0032999999999999974,1600
gan_dp,0.1,160,resnet20,8.103506200000993,8.784763499999826,6.241580200003227,0.9801809999989928,0.1043,0.1,-0.004299999999999998,1600
gan_dp,0.5,160,cnn,7.853789900000265,1.3671609000011813,2.095496699999785,0.3860751000029268,0.1004,0.101875,0.0014749999999999902,1600
gan_dp,0.5,160,resnet20,7.853789900000265,8.692036999993434,6.150505799996608,1.0016022999989218,0.102,0.113125,0.01112500000000001,1600
gan_dp,1.0,160,cnn,8.007299400000193,1.3283338000037475,2.0887226999984705,0.35166059999755817,0.0979,0.1,0.0021000000000000046,1600
gan_dp,1.0,160,resnet20,8.007299400000193,9.578659200000402,7.092855199996848,0.9836798999967868,0.0988,0.1,0.0012000000000000066,1600
distill_dp,0.1,160,cnn,0.12148680000245804,2.768304999997781,2.1336908000012045,0.338656699997955,0.2376,0.999375,0.761775,1600
distill_dp,0.1,160,resnet20,0.12148680000245804,7.703727899999649,6.155250299998443,1.0281558999995468,0.1621,0.49875,0.33665,1600
distill_dp,0.5,160,cnn,0.1274993999977596,1.5908926999982214,2.163368800000171,0.36050199999590404,0.2375,1.0,0.7625,1600
distill_dp,0.5,160,resnet20,0.1274993999977596,10.021488700003829,7.6444516999981715,1.1007725999952527,0.1812,0.3,0.11879999999999999,1600
distill_dp,1.0,160,cnn,0.1715702000001329,1.6019457000002149,2.042364599998109,0.316253199998755,0.2286,1.0,0.7714,1600
distill_dp,1.0,160,resnet20,0.1715702000001329,8.226509700005408,7.403558400001202,0.9259079000039492,0.1568,0.4,0.24320000000000003,1600
diffusion_dp,0.1,160,cnn,1.121491400001105,1.314034700000775,1.9725016999946092,0.33096999999543186,0.3471,0.395,0.0479,1600
diffusion_dp,0.1,160,resnet20,1.121491400001105,7.822836699997424,5.989029399999708,0.8853860000017448,0.1676,0.1925,0.024900000000000005,1600
diffusion_dp,0.5,160,cnn,1.0609246000021813,1.3603772999995272,2.1137038999950164,0.3200918000002275,0.3684,0.42875,0.060350000000000015,1600
diffusion_dp,0.5,160,resnet20,1.0609246000021813,8.157661700002791,6.541582700003346,0.9176846999980626,0.1567,0.163125,0.006424999999999986,1600
diffusion_dp,1.0,160,cnn,1.161450200001127,1.2960437000001548,2.2159209000019473,0.3257134000014048,0.339,0.41375,0.07474999999999998,1600
diffusion_dp,1.0,160,resnet20,1.161450200001127,7.838790599998902,6.388230199998361,0.9650946999972803,0.1845,0.174375,-0.010124999999999995,1600
