method,epsilon,per_class,ssim,psnr,file
distill_dp,1.0,40,0.246127188205719,16.71758574150504,distill_dp_eps_1.0_k_40.png
distill_dp,1.0,40,0.3726181983947754,15.073064551786278,distill_dp_eps_1.0_k_40.png
distill_dp,1.0,40,0.5943321585655212,19.74803716617316,distill_dp_eps_1.0_k_40.png
distill_dp,1.0,40,0.4370395839214325,18.932536328164524,distill_dp_eps_1.0_k_40.png
distill_dp,1.0,40,0.4437354505062103,18.924458318336516,distill_dp_eps_1.0_k_40.png
distill_dp,1.0,80,0.34022006392478943,14.248483573531578,distill_dp_eps_1.0_k_80.png
distill_dp,1.0,80,0.531653642654419,16.937148117966935,distill_dp_eps_1.0_k_80.png
distill_dp,1.0,80,0.5118892192840576,16.877265505490143,distill_dp_eps_1.0_k_80.png
distill_dp,1.0,80,0.4408036172389984,16.01563380648755,distill_dp_eps_1.0_k_80.png
distill_dp,1.0,80,0.6041575074195862,20.09475415506918,distill_dp_eps_1.0_k_80.png
dp,0.1,160,0.08232305198907852,4.776166875172421,dp_eps_0.1_k_160.png
dp,0.1,160,0.03734709694981575,4.087739120334958,dp_eps_0.1_k_160.png
dp,0.1,160,0.1643579751253128,6.095789952896693,dp_eps_0.1_k_160.png
dp,0.1,160,0.1784558892250061,6.544037782697093,dp_eps_0.1_k_160.png
dp,0.1,160,0.15562839806079865,6.334281540812134,dp_eps_0.1_k_160.png
dp,0.1,40,0.1519262194633484,5.932926072236451,dp_eps_0.1_k_40.png
dp,0.1,40,0.20491135120391846,6.617995886030684,dp_eps_0.1_k_40.png
dp,0.1,40,0.14815987646579742,5.944956410369445,dp_eps_0.1_k_40.png
dp,0.1,40,0.24828505516052246,7.159418981121556,dp_eps_0.1_k_40.png
dp,0.1,40,0.11795923858880997,5.957558506518531,dp_eps_0.1_k_40.png
dp,0.1,80,0.1577252745628357,6.030477370996401,dp_eps_0.1_k_80.png
dp,0.1,80,0.06731300801038742,4.6106266680680195,dp_eps_0.1_k_80.png
dp,0.1,80,0.1819499135017395,6.321806697871814,dp_eps_0.1_k_80.png
dp,0.1,80,0.09893400222063065,4.512642446900283,dp_eps_0.1_k_80.png
dp,0.1,80,0.15030144155025482,6.155902783154554,dp_eps_0.1_k_80.png
dp,0.5,160,0.6116051077842712,14.117699045696927,dp_eps_0.5_k_160.png
dp,0.5,160,0.6401887536048889,14.129106177075187,dp_eps_0.5_k_160.png
dp,0.5,160,0.7347084879875183,16.617154578394548,dp_eps_0.5_k_160.png
dp,0.5,160,0.43264493346214294,13.235682592843908,dp_eps_0.5_k_160.png
dp,0.5,160,0.36787500977516174,12.428518623399427,dp_eps_0.5_k_160.png
dp,0.5,40,0.2781810760498047,11.3179319685174,dp_eps_0.5_k_40.png
dp,0.5,40,0.3582879602909088,6.14822719121356,dp_eps_0.5_k_40.png
dp,0.5,40,0.7036015391349792,16.264379329285145,dp_eps_0.5_k_40.png
dp,0.5,40,0.3745960295200348,12.216420892168184,dp_eps_0.5_k_40.png
dp,0.5,40,0.3327031135559082,7.10745014832212,dp_eps_0.5_k_40.png
dp,0.5,80,0.4073621928691864,9.91768851492975,dp_eps_0.5_k_80.png
dp,0.5,80,0.49781641364097595,9.719626573336738,dp_eps_0.5_k_80.png
dp,0.5,80,0.7590010166168213,17.165195090004808,dp_eps_0.5_k_80.png
dp,0.5,80,0.708195686340332,15.911924833998324,dp_eps_0.5_k_80.png
dp,0.5,80,0.7357978820800781,16.46999343803029,dp_eps_0.5_k_80.png
dp,1.0,160,0.7023439407348633,19.24407809120575,dp_eps_1.0_k_160.png
dp,1.0,160,0.6909344792366028,17.9270654203136,dp_eps_1.0_k_160.png
dp,1.0,160,0.7727277278900146,20.287585644411514,dp_eps_1.0_k_160.png
dp,1.0,160,0.8710163235664368,23.521334564648086,dp_eps_1.0_k_160.png
dp,1.0,160,0.7592723965644836,19.061508252437935,dp_eps_1.0_k_160.png
dp,1.0,40,0.763270378112793,20.00640890927596,dp_eps_1.0_k_40.png
dp,1.0,40,0.9578161239624023,27.967746359714354,dp_eps_1.0_k_40.png
dp,1.0,40,0.5784795880317688,10.094498592963427,dp_eps_1.0_k_40.png
dp,1.0,40,0.8631579875946045,22.569082661429118,dp_eps_1.0_k_40.png
dp,1.0,40,0.656339168548584,18.439026568998045,dp_eps_1.0_k_40.png
dp,1.0,80,0.8345026969909668,20.65763141056127,dp_eps_1.0_k_80.png
dp,1.0,80,0.6929386258125305,18.752538094122777,dp_eps_1.0_k_80.png
dp,1.0,80,0.8422074317932129,21.480348713195507,dp_eps_1.0_k_80.png
dp,1.0,80,0.8727879524230957,22.713460478600776,dp_eps_1.0_k_80.png
dp,1.0,80,0.5630428791046143,17.970188317321607,dp_eps_1.0_k_80.png
gan_dp,0.1,160,0.05287717282772064,5.098170277233187,gan_dp_eps_0.1_k_160.png
gan_dp,0.1,160,0.045877281576395035,4.751655531055588,gan_dp_eps_0.1_k_160.png
gan_dp,0.1,160,0.06660399585962296,4.983075893908348,gan_dp_eps_0.1_k_160.png
gan_dp,0.1,160,0.06303983181715012,4.929044003113821,gan_dp_eps_0.1_k_160.png
gan_dp,0.1,160,0.05490945652127266,4.976999885322999,gan_dp_eps_0.1_k_160.png
gan_dp,0.1,40,0.04187688231468201,5.0529916853537316,gan_dp_eps_0.1_k_40.png
gan_dp,0.1,40,0.051733940839767456,4.988287321030179,gan_dp_eps_0.1_k_40.png
gan_dp,0.1,40,0.056937720626592636,5.0211392014277045,gan_dp_eps_0.1_k_40.png
gan_dp,0.1,40,0.03967422619462013,5.207625494525642,gan_dp_eps_0.1_k_40.png
gan_dp,0.1,40,0.035485319793224335,5.560920348966767,gan_dp_eps_0.1_k_40.png
gan_dp,0.1,80,0.042992327362298965,5.216850546428811,gan_dp_eps_0.1_k_80.png
gan_dp,0.1,80,0.05624677240848541,4.913344015797753,gan_dp_eps_0.1_k_80.png
gan_dp,0.1,80,0.04759998992085457,4.906304706997504,gan_dp_eps_0.1_k_80.png
gan_dp,0.1,80,0.05296929180622101,4.987199555018993,gan_dp_eps_0.1_k_80.png
gan_dp,0.1,80,0.05197387933731079,4.882478854461175,gan_dp_eps_0.1_k_80.png
gan_dp,0.5,160,0.08340159803628922,11.325811948714685,gan_dp_eps_0.5_k_160.png
gan_dp,0.5,160,0.08331418037414551,11.457110366867429,gan_dp_eps_0.5_k_160.png
gan_dp,0.5,160,0.08950833231210709,11.311448248191589,gan_dp_eps_0.5_k_160.png
gan_dp,0.5,160,0.1029096469283104,11.746127502802361,gan_dp_eps_0.5_k_160.png
gan_dp,0.5,160,0.08608827739953995,11.485255385869731,gan_dp_eps_0.5_k_160.png
gan_dp,0.5,40,0.08748572319746017,11.585617552762628,gan_dp_eps_0.5_k_40.png
gan_dp,0.5,40,0.08847438544034958,11.453217762337234,gan_dp_eps_0.5_k_40.png
gan_dp,0.5,40,0.08772342652082443,11.407512775591913,gan_dp_eps_0.5_k_40.png
gan_dp,0.5,40,0.0651930496096611,11.189179770020756,gan_dp_eps_0.5_k_40.png
gan_dp,0.5,40,0.08600562065839767,11.323730155095967,gan_dp_eps_0.5_k_40.png
gan_dp,0.5,80,0.08293236792087555,11.240297732738064,gan_dp_eps_0.5_k_80.png
gan_dp,0.5,80,0.08349212259054184,11.244062636835226,gan_dp_eps_0.5_k_80.png
gan_dp,0.5,80,0.08283781260251999,11.42260307743854,gan_dp_eps_0.5_k_80.png
gan_dp,0.5,80,0.0850881040096283,11.328846623366982,gan_dp_eps_0.5_k_80.png
gan_dp,0.5,80,0.08096590638160706,11.441694544813002,gan_dp_eps_0.5_k_80.png
gan_dp,1.0,160,0.12364009022712708,16.573553752857467,gan_dp_eps_1.0_k_160.png
gan_dp,1.0,160,0.10413559526205063,15.9411027735093,gan_dp_eps_1.0_k_160.png
gan_dp,1.0,160,0.1251763254404068,16.246627312019633,gan_dp_eps_1.0_k_160.png
gan_dp,1.0,160,0.11703167110681534,16.452795863007502,gan_dp_eps_1.0_k_160.png
gan_dp,1.0,160,0.12009542435407639,16.3334431382,gan_dp_eps_1.0_k_160.png
gan_dp,1.0,40,0.1255372017621994,16.282930999948533,gan_dp_eps_1.0_k_40.png
gan_dp,1.0,40,0.1295386403799057,16.046151480723967,gan_dp_eps_1.0_k_40.png
gan_dp,1.0,40,0.10324657708406448,15.946926410536227,gan_dp_eps_1.0_k_40.png
gan_dp,1.0,40,0.11708439141511917,16.363161578787697,gan_dp_eps_1.0_k_40.png
gan_dp,1.0,40,0.12801188230514526,16.362832633651497,gan_dp_eps_1.0_k_40.png
gan_dp,1.0,80,0.12415415793657303,16.704129613994766,gan_dp_eps_1.0_k_80.png
gan_dp,1.0,80,0.12275537103414536,16.201843769572633,gan_dp_eps_1.0_k_80.png
gan_dp,1.0,80,0.12243330478668213,16.23143651026263,gan_dp_eps_1.0_k_80.png
gan_dp,1.0,80,0.12193385511636734,16.127270930394687,gan_dp_eps_1.0_k_80.png
gan_dp,1.0,80,0.134724423289299,16.606898454210683,gan_dp_eps_1.0_k_80.png
